0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:01:13 +0530] "GET /ourbank/emp/img/OurBank.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:01:13 +0530] "GET /ourbank/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:01:17 +0530] "GET /ourbank/about-us.jsp HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:01:18 +0530] "GET /ourbank/index.jsp HTTP/1.1" 200 6870
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:01:40 +0530] "GET /ourbank/detail HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:01:45 +0530] "GET /ourbank/contact-us.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:01:48 +0530] "GET /ourbank/login-portal.jsp HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:05:48 +0530] "GET /ourbank/user/login.jsp HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:53 +0530] "POST /ourbank/user/clientlogin HTTP/1.1" 200 4584
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:56 +0530] "GET /ourbank/user/login.jsp HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:56 +0530] "GET /ourbank/css/basic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:56 +0530] "GET /ourbank/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:56 +0530] "GET /ourbank/bootstrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:56 +0530] "GET /ourbank/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:56 +0530] "GET /ourbank/img/OurBank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:56 +0530] "GET /ourbank/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:56 +0530] "GET /ourbank/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:59 +0530] "GET /ourbank/login-portal.jsp HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:07:01 +0530] "GET /ourbank/emp/login.jsp HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:07:02 +0530] "GET /ourbank/emp/img/OurBank.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:28:33 +0530] "GET /ourbank/login-portal.jsp HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:28:37 +0530] "GET /ourbank/emp/login.jsp HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:28:37 +0530] "GET /ourbank/emp/img/OurBank.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:28:51 +0530] "GET /ourbank/ HTTP/1.1" 200 6870
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:29:11 +0530] "GET /ourbank/ HTTP/1.1" 200 6870
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:29:23 +0530] "GET /ourbank/ HTTP/1.1" 200 6870
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:29:48 +0530] "GET /ourbank/ HTTP/1.1" 200 6870
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:29:52 +0530] "GET /ourbank/ HTTP/1.1" 200 6870
